Date : 2021-04-17 10:27:15
Directory : /home/undefined/Documents/pkl/apikom
Total : 112 files,  47194 codes, 266 comments, 550 blanks, all 48010 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         16 |     42,899 |        188 |         44 |     43,131 |
| TypeScript |         55 |      3,174 |         69 |        421 |      3,664 |
| YAML       |          9 |        662 |          1 |         29 |        692 |
| JavaScript |         20 |        370 |          8 |         34 |        412 |
| Docker     |          4 |         51 |          0 |         16 |         67 |
| Properties |          1 |         27 |          0 |          1 |         28 |
| Ignore     |          4 |          8 |          0 |          0 |          8 |
| Markdown   |          3 |          3 |          0 |          5 |          8 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                             |        112 |     47,194 |        266 |        550 |     48,010 |
| infra                                                                                         |          1 |          0 |          0 |          1 |          1 |
| scripts                                                                                       |          1 |          0 |          0 |          1 |          1 |
| services                                                                                      |        110 |     47,194 |        266 |        548 |     48,008 |
| services/authentication                                                                       |         25 |     12,221 |         73 |        129 |     12,423 |
| services/authentication/controllers                                                           |          1 |        261 |          0 |         25 |        286 |
| services/authentication/docs                                                                  |          1 |        195 |          1 |          4 |        200 |
| services/authentication/helpers                                                               |          2 |         31 |          0 |          8 |         39 |
| services/authentication/helpers/firebase                                                      |          1 |         14 |          0 |          5 |         19 |
| services/authentication/interfaces                                                            |          1 |          6 |          0 |          1 |          7 |
| services/authentication/middlewares                                                           |          2 |         42 |          1 |          6 |         49 |
| services/authentication/routes                                                                |          1 |         24 |          0 |         12 |         36 |
| services/authentication/services                                                              |          1 |         40 |          0 |          9 |         49 |
| services/authentication/tests                                                                 |          1 |        436 |         10 |         21 |        467 |
| services/authentication/validations                                                           |          1 |        106 |          0 |          6 |        112 |
| services/categories                                                                           |         26 |     11,241 |         63 |        122 |     11,426 |
| services/categories/config                                                                    |          2 |         63 |          3 |          9 |         75 |
| services/categories/controllers                                                               |          1 |        117 |          0 |         17 |        134 |
| services/categories/docs                                                                      |          1 |        109 |          0 |          7 |        116 |
| services/categories/helpers                                                                   |          2 |         34 |          0 |          6 |         40 |
| services/categories/interfaces                                                                |          1 |          3 |          0 |          1 |          4 |
| services/categories/middlewares                                                               |          1 |         16 |          0 |          2 |         18 |
| services/categories/models                                                                    |          1 |         26 |          1 |          4 |         31 |
| services/categories/routes                                                                    |          1 |         23 |          0 |          7 |         30 |
| services/categories/seeders                                                                   |          1 |         26 |          0 |          3 |         29 |
| services/categories/services                                                                  |          1 |         42 |          0 |          6 |         48 |
| services/categories/tests                                                                     |          1 |        212 |          0 |         24 |        236 |
| services/categories/validations                                                               |          1 |         16 |          0 |          3 |         19 |
| services/images                                                                               |         27 |     11,528 |         63 |        119 |     11,710 |
| services/images/config                                                                        |          2 |         63 |          3 |          9 |         75 |
| services/images/controllers                                                                   |          1 |         97 |          1 |         27 |        125 |
| services/images/docs                                                                          |          1 |        109 |          0 |          7 |        116 |
| services/images/helpers                                                                       |          6 |         96 |          0 |         26 |        122 |
| services/images/migrations                                                                    |          1 |         24 |          0 |          3 |         27 |
| services/images/models                                                                        |          1 |         15 |          0 |          4 |         19 |
| services/images/routes                                                                        |          1 |         13 |          0 |          6 |         19 |
| services/images/services                                                                      |          1 |         11 |          0 |          3 |         14 |
| services/images/tests                                                                         |          1 |          0 |          0 |          1 |          1 |
| services/products                                                                             |         30 |     12,163 |         67 |        177 |     12,407 |
| services/products/config                                                                      |          2 |         63 |          3 |          9 |         75 |
| services/products/controllers                                                                 |          1 |        184 |          4 |         28 |        216 |
| services/products/docs                                                                        |          1 |        153 |          0 |          7 |        160 |
| services/products/helpers                                                                     |          5 |         64 |          0 |         13 |         77 |
| services/products/interfaces                                                                  |          1 |          6 |          0 |          1 |          7 |
| services/products/middlewares                                                                 |          1 |         16 |          0 |          2 |         18 |
| services/products/migrations                                                                  |          1 |         45 |          0 |          3 |         48 |
| services/products/models                                                                      |          1 |         18 |          0 |          6 |         24 |
| services/products/routes                                                                      |          1 |         12 |          1 |         10 |         23 |
| services/products/seeders                                                                     |          1 |         34 |          0 |          3 |         37 |
| services/products/services                                                                    |          1 |         39 |          0 |          8 |         47 |
| services/products/test                                                                        |          1 |        866 |          0 |         48 |        914 |
| services/products/validations                                                                 |          1 |         30 |          0 |          6 |         36 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                      | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/undefined/Documents/pkl/apikom/infra/README.md                                          | Markdown   |          0 |          0 |          1 |          1 |
| /home/undefined/Documents/pkl/apikom/scripts/README.md                                        | Markdown   |          0 |          0 |          1 |          1 |
| /home/undefined/Documents/pkl/apikom/services/authentication/.dockerignore                    | Ignore     |          2 |          0 |          0 |          2 |
| /home/undefined/Documents/pkl/apikom/services/authentication/.eslintrc.js                     | JavaScript |         23 |          2 |          1 |         26 |
